  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.00 100.00 180.00 240.00 280.00 300.00 300.00 280.00 240.00 180.00 100.00 100.00
  0.00 180.00 104.58 132.53 148.98 157.92 157.92 148.98 132.53 104.58 180.00  91.72
  0.00 240.00 132.53 160.40 176.82 186.11 186.11 176.82 160.40 132.53 240.00 126.64
  0.00 280.00 148.98 176.82 192.78 202.04 202.04 192.78 176.82 148.98 280.00 147.31
  0.00 300.00 157.92 186.11 202.04 211.36 211.36 202.04 186.11 157.92 300.00 157.82
  0.00 300.00 157.92 186.11 202.04 211.36 211.36 202.04 186.11 157.92 300.00 157.82
  0.00 280.00 148.98 176.82 192.78 202.04 202.04 192.78 176.82 148.98 280.00 147.31
  0.00 240.00 132.53 160.40 176.82 186.11 186.11 176.82 160.40 132.53 240.00 126.64
  0.00 180.00 104.58 132.53 148.98 157.92 157.92 148.98 132.53 104.58 180.00  91.72
  0.00 100.00 180.00 240.00 280.00 300.00 300.00 280.00 240.00 180.00 100.00 100.00
  0.00 100.00  91.72 126.64 147.31 157.82 157.82 147.31 126.64  91.72 100.00  78.65
