  0.00 100.00 180.00 240.00 280.00 300.00 300.00 280.00 240.00 180.00 100.00 100.00
  0.00 100.00  91.31 125.86 146.26 156.63 156.63 146.26 125.86  91.31 100.00  78.26
  0.00 180.00 118.26 153.08 174.32 185.65 185.65 174.32 153.08 118.26 180.00 111.98
  0.00 240.00 139.71 173.65 194.27 205.72 205.72 194.27 173.65 139.71 240.00 137.42
  0.00 280.00 156.52 190.79 211.34 222.99 222.99 211.34 190.79 156.52 280.00 155.47
  0.00 300.00 166.38 201.81 222.93 234.94 234.94 222.93 201.81 166.38 300.00 164.70
  0.00 300.00 169.03 206.60 229.11 241.80 241.80 229.11 206.60 169.03 300.00 164.47
  0.00 280.00 166.38 207.95 233.26 247.16 247.16 233.26 207.95 166.38 280.00 154.57
  0.00 240.00 149.92 196.05 223.59 238.25 238.25 223.59 196.05 149.92 240.00 126.12
  0.00 180.00 324.00 432.00 504.00 540.00 540.00 504.00 432.00 324.00 180.00 180.00
  0.00 100.00 180.00 240.00 280.00 300.00 300.00 280.00 240.00 180.00 100.00 100.00
  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
